game_id,winner_id,winner_name,game_length_rounds,game_length_terms,simulation_time_seconds
155,1,Random Bot 2,54,7,0.010949850082397461
156,3,Random Bot 4,54,4,0.0009238719940185547
157,0,Random Bot 1,55,5,0.001049041748046875
158,2,Random Bot 3,59,5,0.0010268688201904297
159,1,Random Bot 2,48,4,0.001390218734741211
160,0,Random Bot 1,56,6,0.001796722412109375
161,2,Random Bot 3,55,5,0.006303071975708008
162,1,Random Bot 2,49,5,0.0011157989501953125
163,0,Random Bot 1,51,5,0.001064300537109375
164,3,Random Bot 4,57,4,0.0009431838989257812
165,1,Random Bot 2,62,4,0.0015368461608886719
166,2,Random Bot 3,59,6,0.0017812252044677734
167,0,Random Bot 1,52,6,0.007941246032714844
168,0,Random Bot 1,64,5,0.0016980171203613281
169,0,Random Bot 1,56,5,0.0011878013610839844
170,0,Random Bot 1,62,4,0.002216815948486328
171,0,Random Bot 1,57,4,0.0011870861053466797
172,1,Random Bot 2,52,4,0.005515098571777344
173,3,Random Bot 4,58,4,0.0018041133880615234
174,1,Random Bot 2,54,7,0.0013918876647949219
175,0,Random Bot 1,53,4,0.0014910697937011719
176,1,Random Bot 2,62,6,0.00173187255859375
177,0,Random Bot 1,58,5,0.0013208389282226562
178,0,Random Bot 1,66,5,0.0012161731719970703
179,3,Random Bot 4,55,7,0.00286102294921875
180,3,Random Bot 4,61,5,0.0010821819305419922
181,0,Random Bot 1,58,3,0.006320953369140625
182,3,Random Bot 4,56,5,0.0008308887481689453
183,2,Random Bot 3,53,5,0.0007979869842529297
184,0,Random Bot 1,56,9,0.0008330345153808594
185,0,Random Bot 1,59,5,0.0007731914520263672
186,3,Random Bot 4,59,5,0.013763189315795898
187,0,Random Bot 1,62,4,0.001027822494506836
188,3,Random Bot 4,52,5,0.0009179115295410156
189,2,Random Bot 3,57,5,0.001046895980834961
190,2,Random Bot 3,56,4,0.0012590885162353516
191,2,Random Bot 3,54,3,0.0016570091247558594
192,2,Random Bot 3,53,4,0.005637168884277344
193,0,Random Bot 1,63,4,0.0011131763458251953
194,0,Random Bot 1,56,6,0.0010600090026855469
195,0,Random Bot 1,55,5,0.0009510517120361328
196,3,Random Bot 4,58,4,0.0012929439544677734
197,1,Random Bot 2,59,6,0.007338047027587891
198,0,Random Bot 1,49,6,0.0010709762573242188
199,1,Random Bot 2,60,4,0.0010738372802734375
200,0,Random Bot 1,53,5,0.001004934310913086
201,0,Random Bot 1,56,6,0.0012848377227783203
202,0,Random Bot 1,56,4,0.0015540122985839844
203,3,Random Bot 4,56,5,0.005692005157470703
204,0,Random Bot 1,55,3,0.0009052753448486328
205,2,Random Bot 3,54,5,0.0007998943328857422
206,1,Random Bot 2,61,6,0.0008707046508789062
207,2,Random Bot 3,52,5,0.0007119178771972656
208,2,Random Bot 3,55,5,0.0012519359588623047
209,0,Random Bot 1,56,6,0.006837129592895508
210,0,Random Bot 1,58,7,0.0010678768157958984
211,3,Random Bot 4,56,5,0.0014042854309082031
212,0,Random Bot 1,58,5,0.0015842914581298828
213,0,Random Bot 1,53,6,0.0015859603881835938
214,0,Random Bot 1,54,4,0.006011962890625
215,2,Random Bot 3,52,5,0.001024007797241211
216,0,Random Bot 1,53,6,0.001009225845336914
217,0,Random Bot 1,61,5,0.0011322498321533203
218,1,Random Bot 2,66,5,0.0016109943389892578
219,1,Random Bot 2,54,6,0.0016179084777832031
220,1,Random Bot 2,50,5,0.006626129150390625
221,1,Random Bot 2,47,5,0.00090789794921875
222,0,Random Bot 1,53,5,0.0010440349578857422
223,0,Random Bot 1,65,9,0.0011472702026367188
224,1,Random Bot 2,51,5,0.0014271736145019531
225,0,Random Bot 1,53,8,0.0015938282012939453
226,0,Random Bot 1,56,7,0.006567955017089844
227,0,Random Bot 1,52,5,0.0008447170257568359
228,0,Random Bot 1,54,5,0.0008599758148193359
229,0,Random Bot 1,62,5,0.0008318424224853516
230,3,Random Bot 4,51,6,0.0008120536804199219
231,1,Random Bot 2,57,5,0.0012559890747070312
232,0,Random Bot 1,55,5,0.0063588619232177734
233,2,Random Bot 3,55,4,0.0010499954223632812
234,1,Random Bot 2,54,5,0.0009360313415527344
235,3,Random Bot 4,49,4,0.0009369850158691406
236,0,Random Bot 1,53,8,0.0013628005981445312
237,2,Random Bot 3,61,8,0.0070629119873046875
238,3,Random Bot 4,51,5,0.000997304916381836
239,3,Random Bot 4,56,5,0.0010728836059570312
240,1,Random Bot 2,66,4,0.0011591911315917969
241,1,Random Bot 2,52,4,0.0009720325469970703
242,2,Random Bot 3,55,4,0.001992940902709961
243,0,Random Bot 1,53,4,0.006445169448852539
244,0,Random Bot 1,62,5,0.0010828971862792969
245,1,Random Bot 2,54,5,0.0010800361633300781
246,0,Random Bot 1,54,4,0.0011348724365234375
247,3,Random Bot 4,51,4,0.001984834671020508
248,3,Random Bot 4,50,4,0.0009629726409912109
249,0,Random Bot 1,56,5,0.005634784698486328
250,0,Random Bot 1,55,4,0.001070261001586914
251,2,Random Bot 3,55,5,0.0010569095611572266
252,0,Random Bot 1,48,3,0.000926971435546875
253,2,Random Bot 3,60,5,0.0019903182983398438
254,0,Random Bot 1,65,5,0.006958723068237305
255,0,Random Bot 1,53,6,0.001007080078125
256,1,Random Bot 2,59,6,0.001081705093383789
257,2,Random Bot 3,64,4,0.0010921955108642578
258,0,Random Bot 1,54,4,0.0013010501861572266
259,0,Random Bot 1,51,4,0.0017211437225341797
260,3,Random Bot 4,53,5,0.006593942642211914
261,3,Random Bot 4,61,5,0.0011799335479736328
262,0,Random Bot 1,52,6,0.0010118484497070312
263,1,Random Bot 2,57,4,0.0008051395416259766
264,0,Random Bot 1,55,4,0.0017731189727783203
265,2,Random Bot 3,57,7,0.001039743423461914
266,1,Random Bot 2,57,6,0.00712895393371582
267,1,Random Bot 2,61,5,0.0010809898376464844
268,0,Random Bot 1,57,6,0.001153707504272461
269,0,Random Bot 1,62,5,0.001132965087890625
270,0,Random Bot 1,56,5,0.0013990402221679688
271,0,Random Bot 1,57,5,0.0066280364990234375
272,3,Random Bot 4,53,4,0.0009491443634033203
273,1,Random Bot 2,63,6,0.0011401176452636719
274,0,Random Bot 1,55,9,0.0007770061492919922
275,1,Random Bot 2,54,5,0.0008282661437988281
276,2,Random Bot 3,56,6,0.0013401508331298828
277,0,Random Bot 1,55,7,0.0061550140380859375
278,2,Random Bot 3,54,7,0.0010020732879638672
279,0,Random Bot 1,63,5,0.0010480880737304688
280,2,Random Bot 3,52,6,0.001252889633178711
281,0,Random Bot 1,59,7,0.0016162395477294922
282,0,Random Bot 1,54,4,0.006724834442138672
283,2,Random Bot 3,57,4,0.001096963882446289
284,0,Random Bot 1,50,4,0.0009720325469970703
285,2,Random Bot 3,55,4,0.0009758472442626953
286,1,Random Bot 2,57,7,0.0010886192321777344
287,3,Random Bot 4,49,4,0.001882791519165039
288,1,Random Bot 2,55,5,0.0066051483154296875
289,2,Random Bot 3,58,6,0.0009059906005859375
290,1,Random Bot 2,58,6,0.0008428096771240234
291,3,Random Bot 4,60,6,0.0008287429809570312
292,0,Random Bot 1,53,4,0.0008189678192138672
293,3,Random Bot 4,52,5,0.0007450580596923828
294,1,Random Bot 2,55,4,0.007742881774902344
295,2,Random Bot 3,59,8,0.0011210441589355469
296,1,Random Bot 2,56,5,0.0010478496551513672
297,3,Random Bot 4,59,4,0.0010528564453125
298,1,Random Bot 2,62,5,0.0019490718841552734
299,1,Random Bot 2,59,5,0.006887197494506836
300,3,Random Bot 4,60,6,0.0012080669403076172
301,0,Random Bot 1,55,7,0.0010120868682861328
302,0,Random Bot 1,61,6,0.0011219978332519531
303,3,Random Bot 4,50,4,0.0012180805206298828
304,1,Random Bot 2,54,5,0.0016090869903564453
305,2,Random Bot 3,53,5,0.006583213806152344
306,2,Random Bot 3,60,5,0.001065969467163086
307,0,Random Bot 1,58,6,0.001046895980834961
308,1,Random Bot 2,59,5,0.001374959945678711
309,0,Random Bot 1,63,6,0.0016870498657226562
310,0,Random Bot 1,52,5,0.005794048309326172
311,0,Random Bot 1,59,4,0.0010743141174316406
312,0,Random Bot 1,53,5,0.001093149185180664
313,2,Random Bot 3,59,7,0.0010609626770019531
314,2,Random Bot 3,60,6,0.0014519691467285156
315,3,Random Bot 4,50,5,0.0016438961029052734
316,0,Random Bot 1,56,7,0.006819963455200195
317,3,Random Bot 4,49,4,0.0009593963623046875
318,0,Random Bot 1,60,5,0.0013229846954345703
319,0,Random Bot 1,50,4,0.000965118408203125
320,0,Random Bot 1,52,4,0.0012938976287841797
321,0,Random Bot 1,57,6,0.0016198158264160156
322,0,Random Bot 1,53,7,0.006852149963378906
323,0,Random Bot 1,55,6,0.0010030269622802734
324,0,Random Bot 1,54,6,0.0009720325469970703
325,0,Random Bot 1,58,6,0.0010418891906738281
326,1,Random Bot 2,61,4,0.001277923583984375
327,1,Random Bot 2,54,8,0.0011639595031738281
328,3,Random Bot 4,59,4,0.0011551380157470703
329,1,Random Bot 2,59,5,0.0010180473327636719
330,2,Random Bot 3,59,6,0.00095367431640625
331,0,Random Bot 1,59,5,0.0021409988403320312
332,1,Random Bot 2,63,5,0.008602142333984375
333,1,Random Bot 2,56,7,0.0010840892791748047
334,1,Random Bot 2,53,6,0.0010528564453125
335,0,Random Bot 1,68,6,0.0012028217315673828
336,0,Random Bot 1,64,5,0.0013952255249023438
337,1,Random Bot 2,57,5,0.006891012191772461
338,0,Random Bot 1,57,6,0.0010781288146972656
339,1,Random Bot 2,61,4,0.0010530948638916016
340,0,Random Bot 1,66,6,0.001135110855102539
341,3,Random Bot 4,51,6,0.0009300708770751953
342,1,Random Bot 2,48,5,0.0019338130950927734
343,0,Random Bot 1,58,5,0.006076812744140625
344,3,Random Bot 4,62,4,0.00115203857421875
345,1,Random Bot 2,51,5,0.0009219646453857422
346,1,Random Bot 2,54,7,0.0008919239044189453
347,1,Random Bot 2,57,5,0.001329183578491211
348,2,Random Bot 3,58,5,0.0018191337585449219
349,1,Random Bot 2,65,7,0.006239891052246094
350,1,Random Bot 2,55,4,0.0010151863098144531
351,3,Random Bot 4,59,5,0.0009839534759521484
352,1,Random Bot 2,51,7,0.0009770393371582031
353,0,Random Bot 1,48,4,0.0013391971588134766
354,0,Random Bot 1,45,4,0.006671905517578125
355,0,Random Bot 1,57,5,0.0011451244354248047
356,0,Random Bot 1,62,5,0.0010669231414794922
357,0,Random Bot 1,51,5,0.0009639263153076172
358,2,Random Bot 3,56,5,0.001280069351196289
359,0,Random Bot 1,62,6,0.0017800331115722656
360,0,Random Bot 1,48,4,0.006831169128417969
361,2,Random Bot 3,44,5,0.000888824462890625
362,1,Random Bot 2,52,6,0.0009949207305908203
363,1,Random Bot 2,58,5,0.0009999275207519531
364,0,Random Bot 1,54,5,0.0009670257568359375
365,1,Random Bot 2,56,6,0.0018870830535888672
366,2,Random Bot 3,65,6,0.006697893142700195
367,0,Random Bot 1,59,5,0.00110626220703125
368,3,Random Bot 4,61,5,0.0011126995086669922
369,0,Random Bot 1,48,3,0.0009748935699462891
370,1,Random Bot 2,55,6,0.0018591880798339844
371,1,Random Bot 2,68,5,0.007059812545776367
372,0,Random Bot 1,55,5,0.0009889602661132812
373,3,Random Bot 4,55,5,0.0011081695556640625
374,1,Random Bot 2,64,5,0.0010161399841308594
375,3,Random Bot 4,59,5,0.0014882087707519531
376,3,Random Bot 4,57,4,0.0016226768493652344
377,3,Random Bot 4,52,7,0.006690025329589844
378,2,Random Bot 3,56,6,0.0009632110595703125
379,1,Random Bot 2,55,6,0.001065969467163086
380,1,Random Bot 2,53,5,0.0010607242584228516
381,3,Random Bot 4,56,5,0.001316070556640625
382,1,Random Bot 2,58,7,0.0017278194427490234
383,1,Random Bot 2,56,5,0.01170206069946289
384,0,Random Bot 1,52,6,0.0010228157043457031
385,3,Random Bot 4,59,5,0.0016398429870605469
386,0,Random Bot 1,57,5,0.0015368461608886719
387,0,Random Bot 1,55,5,0.0012159347534179688
388,0,Random Bot 1,60,5,0.0011022090911865234
389,0,Random Bot 1,58,4,0.002178192138671875
390,0,Random Bot 1,55,5,0.0015716552734375
391,1,Random Bot 2,52,5,0.0049359798431396484
392,1,Random Bot 2,53,5,0.001789093017578125
393,1,Random Bot 2,59,4,0.001302957534790039
394,0,Random Bot 1,52,5,0.0020627975463867188
395,0,Random Bot 1,65,4,0.0009620189666748047
396,0,Random Bot 1,57,10,0.0016789436340332031
397,2,Random Bot 3,49,3,0.0021479129791259766
398,0,Random Bot 1,53,4,0.000988006591796875
399,1,Random Bot 2,55,4,0.0014882087707519531
400,3,Random Bot 4,62,5,0.0022280216217041016
401,1,Random Bot 2,59,6,0.0011680126190185547
402,3,Random Bot 4,53,4,0.0012149810791015625
403,3,Random Bot 4,65,7,0.0014040470123291016
404,1,Random Bot 2,54,5,0.002192974090576172
405,3,Random Bot 4,59,5,0.005914211273193359
406,0,Random Bot 1,51,6,0.0010371208190917969
407,3,Random Bot 4,52,5,0.0014221668243408203
408,3,Random Bot 4,57,5,0.0011661052703857422
409,3,Random Bot 4,57,5,0.0032491683959960938
410,0,Random Bot 1,51,5,0.0011129379272460938
411,2,Random Bot 3,56,5,0.007981061935424805
412,0,Random Bot 1,47,5,0.0009059906005859375
413,0,Random Bot 1,62,5,0.0010080337524414062
414,1,Random Bot 2,54,5,0.0008339881896972656
415,0,Random Bot 1,51,4,0.0018990039825439453
416,1,Random Bot 2,55,6,0.0010192394256591797
417,0,Random Bot 1,56,5,0.012315034866333008
418,1,Random Bot 2,59,5,0.0013568401336669922
419,2,Random Bot 3,69,6,0.0012271404266357422
420,0,Random Bot 1,53,5,0.000911712646484375
421,2,Random Bot 3,65,5,0.0022230148315429688
422,3,Random Bot 4,54,5,0.006445169448852539
423,3,Random Bot 4,61,5,0.0011358261108398438
424,0,Random Bot 1,60,4,0.001123189926147461
425,3,Random Bot 4,57,8,0.0013852119445800781
426,1,Random Bot 2,58,6,0.0014891624450683594
427,1,Random Bot 2,59,7,0.0058879852294921875
428,1,Random Bot 2,56,5,0.001062154769897461
429,0,Random Bot 1,56,5,0.0010023117065429688
430,3,Random Bot 4,57,6,0.0010941028594970703
431,3,Random Bot 4,55,4,0.0012409687042236328
432,1,Random Bot 2,56,4,0.0016291141510009766
433,2,Random Bot 3,59,5,0.006955862045288086
434,3,Random Bot 4,60,6,0.0010600090026855469
435,3,Random Bot 4,55,6,0.0009529590606689453
436,0,Random Bot 1,65,6,0.0010721683502197266
437,1,Random Bot 2,57,6,0.002067089080810547
438,3,Random Bot 4,53,4,0.006773948669433594
439,0,Random Bot 1,57,6,0.001024007797241211
440,3,Random Bot 4,68,5,0.0012080669403076172
441,0,Random Bot 1,66,4,0.0011551380157470703
442,3,Random Bot 4,60,5,0.0013790130615234375
443,3,Random Bot 4,61,5,0.0017359256744384766
444,0,Random Bot 1,57,5,0.006191730499267578
445,1,Random Bot 2,57,5,0.001070261001586914
446,3,Random Bot 4,48,5,0.0010380744934082031
447,2,Random Bot 3,61,7,0.0010950565338134766
448,1,Random Bot 2,61,5,0.002240896224975586
449,3,Random Bot 4,55,6,0.006876945495605469
450,3,Random Bot 4,59,6,0.0010828971862792969
451,0,Random Bot 1,53,4,0.0009801387786865234
452,2,Random Bot 3,53,4,0.0009980201721191406
453,2,Random Bot 3,52,5,0.0013997554779052734
454,2,Random Bot 3,57,4,0.0016629695892333984
455,0,Random Bot 1,55,4,0.00658106803894043
456,3,Random Bot 4,47,4,0.0008499622344970703
457,3,Random Bot 4,52,5,0.0009310245513916016
458,1,Random Bot 2,53,5,0.0010318756103515625
459,0,Random Bot 1,52,6,0.0008599758148193359
460,1,Random Bot 2,49,5,0.0019736289978027344
